Age,Gender,Weight(Kg),Height(cm),Muscle(%),Body Fat(%),Exercise per week,Waist circumference (cm),Hip circumference (cm)
56,1,84.78353277034076,182.07360699364568,51.11478289980494,30.294888709986076,4,15.72181972253965,18.328637655848638
78,1,73.58310629594982,174.17767148760055,39.389080173113214,35.96443173098861,3,18.008796161146563,15.170819350272817
20,0,53.490064225776976,160.79552917056836,64.48849118213006,26.2864378561758,6,10.297823030143563,24.231041525246553
52,1,73.86422147414103,185.66969142998644,49.045074669754044,22.94878397074727,4,17.528037006814817,10.935083068612723
25,1,56.25058679694669,171.2330083683593,54.54151768872657,10.665429177182668,3,6.406736485894583,10.379686514053445
62,0,64.56463197526502,154.0585324378944,37.42184088991146,41.08974667798803,2,21.416584737379978,22.247957623581733
58,1,94.63317690683539,173.70038716335327,45.372214811106886,31.62939088018613,2,16.260602845007856,18.535279309014392
52,0,68.26845223970014,168.27456327284207,49.65770223889119,30.251570635074565,2,12.329362691429264,14.036874304850112
59,1,95.63737426009132,175.13300231743506,45.78696300006892,38.03318048343077,2,19.171287740614574,17.098521906033177
45,1,93.38944207259243,168.31257488697608,47.3433540434168,36.45277839695246,5,20.120464363602036,17.97486906955375
45,0,57.979469061226474,162.2552429280749,43.668873066363176,31.63164135169942,6,15.773999371094675,17.385349094892717
79,0,54.03734204718644,160.337575658387,33.54228011730734,38.50855727325642,3,14.987506883487374,7.873419883647816
69,1,54.89743067014665,168.05189674417767,39.003039715256854,22.112798624282924,1,13.578518790411314,12.537081522130784
49,0,79.33515487289921,147.50868600852903,47.21028550040015,48.07272015504521,6,32.30699400503465,30.361412195327077
55,1,79.67178688491852,172.27379382987561,48.03063151970656,32.07741118846663,2,16.284863841791818,22.702368085814296
36,1,81.0284446220904,178.31514701444627,54.51451256673791,23.62429594825738,1,13.579336853572059,28.198187302921404
74,0,67.0565013400667,157.80602395138058,39.44236728421949,44.45259451639248,0,8.444548959816055,19.71673891847629
26,0,77.99396814264487,169.323485918578,53.1277424821443,34.35812577915177,2,19.556284828486625,24.964956078999478
42,0,55.14618202874313,144.84380174569338,56.02930323838869,37.342509461799175,7,15.20486042872448,15.21617176464757
24,0,73.2206015999449,163.2822831879799,56.823530963283154,33.05325847315351,5,13.48961005446301,16.100278553087264
25,0,45.636237900154,174.55103413124223,70.02552640038618,16.182276745908766,7,8.592374267115876,14.283201813012738
45,1,91.10511226921608,180.43934856432526,47.727206109028245,23.092379044698923,7,25.42414074169348,21.010111949430225
59,0,53.52280027175,159.01331636784133,49.89736228748101,31.6531164757116,0,17.877916119640485,12.900171863751318
46,1,87.70678926368313,201.96912043458303,50.676149060610854,19.069583805842893,7,20.224788984096776,25.2194566853628
68,0,65.68351251103829,178.22683359288607,35.0284871660425,36.42621496102727,5,10.174491362667752,14.309082435501976
39,0,56.068797263707765,175.92266098793016,57.13311923898898,24.52716511042629,3,15.496392223924898,7.987715276557809
47,0,57.34490634192662,155.84459990231437,55.63934053459052,32.19936285677676,1,10.430739594335313,20.758321408583065
75,1,70.20006151139432,177.83487197672667,41.08836608852688,31.956256416028538,7,9.485523051368261,22.352995411197803
22,1,83.43455648345656,169.29310344434654,49.75130826056865,23.28889256794089,3,23.20909578709931,25.177321281079315
40,1,99.84895710726855,171.74034660121816,48.42838965542045,37.490844448143264,0,23.548339456240665,37.902753955046364
33,1,93.8934881432755,182.22758954979517,51.48713975290864,26.694056317199237,4,15.438146838501662,24.20784315855299
20,0,67.80991867735032,163.54314424749907,63.27643173384174,27.537619825867523,3,13.638382275578174,22.906367302941756
28,0,64.09921366819793,165.35520771198688,55.89333525035025,29.130040367053667,2,23.89735033029835,8.071706254534298
35,0,58.30797271818787,175.8700184308753,71.8977943397933,24.619770964894336,0,11.222029333286335,16.227422139147997
42,1,75.52548165254439,181.88816481194164,55.00751465707876,24.67929229972913,3,17.127053392309488,20.023544662175578
70,0,54.93982618500298,173.10677611450046,49.8954760835023,33.34993377120399,4,15.815613669476324,17.423618953563892
28,1,81.24095653700718,183.28437624098703,55.17041152827573,18.318456251520242,2,15.202822844145562,13.162361067650178
54,1,72.83927404137019,184.5207795637372,39.27888084246998,20.44313078961217,1,5.604554491596701,25.61383733997793
